                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.3212,                 1.1951,                 1.4891,                0.70896,                0.60488,                0.67815,                0.37532,                 1.5299,                  1.241,                 1.7048,              0.0012214,              0.0012214,              0.0012214
                     57,                 1.3335,                 1.1967,                 1.5122,                0.65588,                0.58571,                 0.6452,                0.36755,                 1.5342,                 1.2793,                 1.7141,              0.0012132,              0.0012132,              0.0012132
                     58,                 1.3499,                 1.1954,                 1.5272,                0.71784,                0.65018,                0.70216,                0.38236,                 1.5422,                 1.2692,                 1.7328,              0.0012049,              0.0012049,              0.0012049
                     59,                 1.3056,                 1.1727,                  1.493,                0.74164,                0.62512,                0.70001,                0.40407,                 1.4858,                 1.1925,                 1.6802,              0.0011967,              0.0011967,              0.0011967
                     60,                 1.3323,                 1.1884,                 1.5082,                0.77991,                 0.6593,                0.73604,                0.40868,                 1.5081,                  1.169,                  1.681,              0.0011884,              0.0011884,              0.0011884
                     61,                   1.29,                 1.1464,                 1.4815,                0.78203,                0.58617,                0.69817,                0.39924,                 1.5133,                 1.1933,                  1.692,              0.0011802,              0.0011802,              0.0011802
                     62,                 1.3025,                 1.1728,                 1.4898,                0.77933,                0.57823,                0.69805,                0.38426,                  1.543,                 1.2709,                 1.7262,              0.0011719,              0.0011719,              0.0011719
                     63,                 1.2775,                 1.1243,                 1.4775,                0.78696,                0.65217,                0.74356,                0.41879,                  1.506,                 1.1227,                 1.6825,              0.0011636,              0.0011636,              0.0011636
                     64,                 1.2751,                 1.1428,                  1.476,                0.70052,                0.62782,                0.70719,                0.39921,                   1.55,                 1.2563,                 1.7298,              0.0011554,              0.0011554,              0.0011554
                     65,                 1.2562,                 1.1286,                 1.4582,                0.78064,                 0.5924,                0.71094,                0.39929,                 1.4944,                 1.1238,                 1.6745,              0.0011471,              0.0011471,              0.0011471
                     66,                  1.267,                 1.1186,                 1.4549,                0.75321,                0.61292,                  0.708,                0.41133,                 1.4914,                 1.1921,                 1.6781,              0.0011389,              0.0011389,              0.0011389
                     67,                 1.2444,                 1.1028,                 1.4556,                0.72255,                  0.678,                0.72689,                0.41651,                 1.5268,                 1.1416,                 1.7065,              0.0011306,              0.0011306,              0.0011306
                     68,                 1.2732,                 1.0991,                 1.4719,                0.70261,                0.66778,                0.72377,                0.40158,                 1.5291,                 1.1424,                 1.7198,              0.0011224,              0.0011224,              0.0011224
                     69,                 1.2577,                 1.0837,                 1.4699,                0.74476,                0.67404,                0.72783,                0.41964,                 1.5246,                 1.0969,                 1.7021,              0.0011141,              0.0011141,              0.0011141
                     70,                 1.2581,                 1.0824,                 1.4653,                0.81238,                0.62358,                0.73292,                0.43808,                 1.4647,                 1.1329,                  1.647,              0.0011059,              0.0011059,              0.0011059
                     71,                 1.2439,                 1.0741,                 1.4536,                0.72175,                0.61168,                0.69318,                0.38805,                 1.5272,                  1.196,                 1.7144,              0.0010976,              0.0010976,              0.0010976
                     72,                  1.238,                 1.0642,                 1.4519,                0.81117,                0.61451,                0.72768,                 0.4203,                 1.4811,                 1.1492,                 1.6492,              0.0010894,              0.0010894,              0.0010894
                     73,                 1.2309,                 1.0519,                  1.436,                0.78954,                 0.6403,                0.73686,                0.43954,                 1.4603,                 1.0952,                 1.6591,              0.0010811,              0.0010811,              0.0010811
                     74,                 1.2276,                 1.0196,                 1.4351,                0.68617,                0.69444,                0.72633,                0.41182,                 1.5097,                 1.0947,                 1.6847,              0.0010729,              0.0010729,              0.0010729
                     75,                 1.2137,                 1.0183,                 1.4373,                0.75099,                0.69232,                 0.7601,                0.43125,                 1.4925,                 1.0811,                 1.6692,              0.0010646,              0.0010646,              0.0010646
                     76,                 1.1979,                0.98493,                 1.4146,                0.79475,                0.68651,                0.77507,                0.46299,                 1.4676,                 1.0584,                 1.6475,              0.0010564,              0.0010564,              0.0010564
                     77,                 1.2263,                 1.0075,                 1.4361,                0.79821,                0.57653,                0.69717,                0.40531,                 1.5078,                 1.1516,                 1.7083,              0.0010481,              0.0010481,              0.0010481
                     78,                 1.2239,                 1.0199,                 1.4333,                 0.8226,                0.62358,                0.76238,                0.45693,                 1.4123,                  1.068,                 1.6024,              0.0010399,              0.0010399,              0.0010399
                     79,                  1.199,                 1.0151,                 1.4285,                0.82006,                 0.6695,                 0.7617,                0.45351,                 1.4479,                 1.0275,                 1.6592,              0.0010316,              0.0010316,              0.0010316
                     80,                 1.1888,                 1.0159,                 1.4099,                0.80848,                0.64399,                 0.7516,                0.42821,                 1.4911,                 1.1026,                 1.6811,              0.0010234,              0.0010234,              0.0010234
                     81,                 1.1925,                0.99079,                 1.4042,                0.82927,                0.57943,                0.72685,                0.41465,                 1.4698,                 1.1328,                 1.6634,              0.0010151,              0.0010151,              0.0010151
                     82,                 1.1641,                0.94805,                 1.3805,                0.81589,                0.68421,                0.77149,                0.45904,                 1.4436,                 1.0275,                 1.6689,              0.0010069,              0.0010069,              0.0010069
