                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.2276,                 0.9392,                 1.2517,                0.75904,                0.67999,                0.71409,                0.39329,                 1.5776,                 1.2111,                 1.5908,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.1915,                 0.8713,                  1.239,                0.76128,                0.71714,                0.74004,                0.45505,                 1.4535,                 1.0941,                 1.5018,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.1787,                0.91061,                 1.2455,                  0.725,                0.67393,                0.70176,                0.38554,                 1.5486,                 1.0825,                  1.525,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.1712,                0.88306,                  1.218,                0.80429,                0.67953,                0.71198,                 0.4163,                 1.4951,                 1.1222,                 1.5363,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.1982,                0.88232,                 1.2491,                0.80439,                0.71163,                0.77516,                0.45411,                 1.5241,                 1.0516,                 1.5406,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.1833,                0.84468,                 1.2236,                0.80976,                0.72396,                0.76908,                0.45637,                 1.4921,                 1.0261,                 1.4966,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.1731,                0.85212,                 1.2155,                0.76696,                0.75919,                0.77653,                0.45166,                 1.4955,                0.95812,                 1.5133,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.1822,                 0.8675,                 1.2246,                0.75252,                0.69496,                0.73114,                0.43649,                 1.4786,                 1.0335,                 1.5349,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1685,                0.86683,                 1.2345,                0.78524,                0.71532,                0.76425,                0.46085,                 1.4958,                0.96025,                 1.5181,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.0981,                0.82251,                 1.1947,                0.82097,                0.68486,                0.73987,                0.43549,                 1.5357,                 1.0586,                 1.5512,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.1396,                0.82888,                 1.2045,                 0.8042,                0.73814,                0.75376,                 0.4424,                 1.5269,                0.97644,                 1.5371,             0.00065091,             0.00065091,             0.00065091
                     58,                   1.15,                0.83237,                 1.2103,                0.77593,                0.73156,                0.74729,                0.44995,                 1.4637,                 1.0165,                 1.5265,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.1212,                0.81024,                 1.1974,                0.77068,                0.68829,                0.72252,                0.40827,                  1.533,                 1.0367,                   1.51,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.1282,                0.79493,                 1.2059,                0.79517,                0.71651,                0.77479,                0.44944,                  1.499,                0.92785,                 1.5223,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1168,                0.78037,                 1.1712,                0.80036,                0.71684,                0.75852,                0.45339,                 1.5255,                0.93937,                 1.5569,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.1214,                0.82287,                 1.2025,                 0.7695,                0.74533,                0.77644,                0.47539,                 1.4309,                0.91518,                 1.4801,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.0703,                0.77259,                  1.179,                0.77824,                0.73408,                0.77171,                0.46364,                 1.4528,                0.91689,                 1.4915,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.1121,                0.80067,                 1.1839,                0.83937,                0.70169,                0.78803,                0.46848,                 1.4909,                0.89959,                 1.5381,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.1139,                0.79801,                 1.1952,                0.80321,                0.75006,                0.77781,                0.47396,                 1.4812,                0.92192,                  1.558,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.1071,                0.76621,                 1.1827,                0.82024,                0.79066,                0.80483,                 0.4781,                 1.4654,                0.91798,                 1.4777,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.0842,                0.74929,                 1.1722,                0.77832,                0.79016,                0.80276,                0.49804,                 1.4219,                 0.8683,                 1.4857,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.0652,                0.74519,                 1.1646,                 0.8402,                0.74165,                0.78828,                0.49159,                 1.4333,                0.88107,                 1.4855,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.0673,                0.73636,                 1.1692,                0.84207,                0.76577,                0.80978,                0.49325,                 1.4815,                0.86927,                 1.4973,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.0433,                0.73611,                 1.1652,                0.81159,                0.78869,                0.80474,                0.50549,                 1.4452,                0.84622,                 1.5211,               0.000467,               0.000467,               0.000467
                     71,                 1.0326,                0.72892,                 1.1572,                0.80403,                0.77949,                0.81625,                 0.5015,                 1.4669,                0.83734,                 1.4936,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.0072,                0.72864,                  1.126,                 0.8269,                0.74364,                0.80527,                0.49116,                 1.4259,                0.86344,                  1.476,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.0442,                0.71058,                 1.1548,                0.81952,                0.77196,                0.81448,                0.50565,                 1.4223,                0.85596,                 1.4946,             0.00042456,             0.00042456,             0.00042456
                     74,                  1.027,                0.70877,                 1.1429,                0.86501,                0.73262,                 0.8112,                0.49897,                  1.431,                0.85671,                 1.4884,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.0079,                0.68471,                 1.1293,                0.79174,                0.76326,                0.78341,                0.48837,                 1.3906,                0.83016,                 1.4545,             0.00039626,             0.00039626,             0.00039626
                     76,                  1.017,                0.70052,                  1.145,                0.83315,                0.75156,                0.78905,                0.49149,                 1.3899,                0.89749,                 1.4727,             0.00038211,             0.00038211,             0.00038211
                     77,                0.99166,                0.68138,                 1.1281,                0.84662,                 0.7659,                0.79078,                0.48571,                 1.4068,                0.86333,                 1.4926,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.0103,                0.70283,                 1.1481,                0.82579,                0.76623,                0.81068,                0.50277,                 1.4092,                0.85873,                 1.4866,             0.00035382,             0.00035382,             0.00035382
                     79,                0.98677,                0.68587,                 1.1276,                0.81605,                  0.748,                0.80413,                0.50189,                  1.401,                0.85015,                 1.4789,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.0046,                0.66835,                 1.1332,                0.82001,                0.76758,                0.80826,                0.49121,                 1.4126,                0.85481,                 1.4443,             0.00032553,             0.00032553,             0.00032553
                     81,                0.97326,                0.65811,                 1.1041,                0.77552,                0.80194,                0.80436,                0.50759,                 1.3725,                0.83849,                 1.4496,             0.00031138,             0.00031138,             0.00031138
                     82,                 0.9639,                0.64873,                 1.1265,                0.80965,                0.77237,                0.79731,                0.50541,                 1.3491,                0.83256,                 1.4308,             0.00029723,             0.00029723,             0.00029723
                     83,                0.95579,                0.65551,                 1.1097,                0.79558,                0.78251,                0.79193,                0.50512,                 1.3813,                0.83244,                 1.4566,             0.00028308,             0.00028308,             0.00028308
                     84,                0.96552,                0.68871,                 1.1136,                0.85715,                0.74947,                0.79928,                0.51254,                 1.3662,                0.83996,                 1.4556,             0.00026894,             0.00026894,             0.00026894
                     85,                0.96992,                0.66513,                 1.1225,                 0.8396,                0.75532,                 0.7997,                0.51185,                 1.3678,                0.82073,                 1.4812,             0.00025479,             0.00025479,             0.00025479
                     86,                0.95303,                0.65649,                 1.1096,                0.84625,                0.77831,                 0.8129,                0.51126,                 1.4037,                0.79851,                 1.4914,             0.00024064,             0.00024064,             0.00024064
                     87,                0.93897,                0.62442,                 1.1183,                0.84074,                0.75328,                0.80702,                0.51756,                   1.43,                0.80732,                 1.4957,              0.0002265,              0.0002265,              0.0002265
                     88,                0.91832,                0.61508,                 1.0836,                0.86388,                0.74858,                0.79438,                0.50586,                 1.3944,                 0.8085,                 1.4794,             0.00021235,             0.00021235,             0.00021235
                     89,                0.94603,                0.62615,                 1.1171,                0.83427,                0.75763,                 0.8065,                0.51493,                 1.3753,                0.79049,                 1.4895,              0.0001982,              0.0001982,              0.0001982
                     90,                0.94325,                0.65469,                 1.0997,                0.83572,                0.75989,                0.81132,                0.50668,                 1.3953,                0.79621,                 1.4814,             0.00018406,             0.00018406,             0.00018406
                     91,                0.86394,                  0.569,                 1.0682,                0.82542,                0.78383,                0.80776,                0.51404,                 1.3738,                 0.8118,                 1.4474,             0.00016991,             0.00016991,             0.00016991
                     92,                0.84327,                0.51223,                 1.0314,                0.79801,                0.77059,                0.81101,                0.51988,                 1.3622,                0.80412,                 1.4531,             0.00015576,             0.00015576,             0.00015576
                     93,                0.81743,                0.49084,                 1.0301,                0.85654,                 0.7476,                0.81652,                0.51192,                 1.3836,                0.80995,                 1.4705,             0.00014161,             0.00014161,             0.00014161
                     94,                0.82138,                0.51962,                 1.0352,                0.82519,                0.75973,                0.81184,                0.51931,                  1.376,                0.78874,                 1.4819,             0.00012747,             0.00012747,             0.00012747
                     95,                0.78099,                 0.4795,                   1.01,                 0.8427,                 0.7676,                0.81939,                0.51719,                 1.3726,                0.80265,                 1.4907,             0.00011332,             0.00011332,             0.00011332
                     96,                0.78462,                0.47079,                 1.0251,                0.84611,                0.76867,                0.82267,                0.51851,                 1.3771,                0.81016,                 1.4966,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.78085,                0.47461,                 1.0198,                0.86202,                0.75824,                0.82752,                 0.5184,                 1.3896,                0.80783,                 1.4983,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.76085,                0.46126,                 1.0087,                0.84706,                0.76904,                0.82152,                0.52202,                 1.3763,                0.80007,                 1.4939,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.75882,                0.45596,                 1.0003,                0.84716,                0.76188,                0.81463,                0.51973,                 1.3839,                0.79284,                  1.493,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.78181,                0.47037,                 1.0218,                0.84181,                0.77164,                0.82056,                0.52459,                 1.3676,                0.79768,                  1.482,             4.2584e-05,             4.2584e-05,             4.2584e-05
