                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.1645,                0.94466,                 1.3514,                0.82724,                0.66877,                0.76009,                0.44647,                 1.4624,                  1.063,                 1.5721,              0.0012709,              0.0012709,              0.0012709
                     51,                 1.1415,                0.93382,                 1.3398,                0.74622,                0.67453,                0.74266,                0.44766,                 1.4863,                 1.0211,                 1.5846,              0.0012627,              0.0012627,              0.0012627
                     52,                 1.1596,                0.93521,                  1.344,                0.79789,                0.69637,                0.75616,                0.44736,                 1.4883,                 1.0296,                 1.6222,              0.0012544,              0.0012544,              0.0012544
                     53,                 1.1606,                0.91115,                 1.3355,                0.81566,                0.66255,                0.75439,                 0.4314,                  1.505,                 1.0389,                 1.6134,              0.0012462,              0.0012462,              0.0012462
                     54,                  1.145,                 0.9047,                  1.327,                0.81517,                0.69638,                0.77592,                0.45291,                 1.4536,                 0.9824,                 1.5754,              0.0012379,              0.0012379,              0.0012379
                     55,                 1.1217,                0.88944,                 1.3154,                0.78884,                0.70066,                0.76342,                0.43974,                 1.4813,                 1.0326,                 1.5955,              0.0012297,              0.0012297,              0.0012297
                     56,                 1.1082,                0.85745,                 1.3089,                0.79687,                0.66933,                0.75268,                0.43756,                 1.4837,                 1.0278,                 1.5712,              0.0012214,              0.0012214,              0.0012214
                     57,                 1.1004,                0.86217,                 1.3051,                0.82156,                0.68966,                0.76969,                0.45835,                  1.455,                 1.0298,                 1.5548,              0.0012132,              0.0012132,              0.0012132
                     58,                 1.1329,                0.90386,                  1.328,                0.80024,                0.70204,                0.75944,                0.44715,                 1.4344,                 1.0347,                 1.5623,              0.0012049,              0.0012049,              0.0012049
                     59,                 1.1088,                0.85665,                 1.3115,                0.80415,                 0.7066,                 0.7692,                0.43809,                 1.5178,                 1.0028,                 1.6257,              0.0011967,              0.0011967,              0.0011967
                     60,                 1.1173,                0.87144,                 1.3181,                0.76545,                0.74375,                0.77875,                0.46075,                 1.4467,                0.98993,                 1.5674,              0.0011884,              0.0011884,              0.0011884
                     61,                 1.0757,                0.82146,                 1.2721,                0.79021,                0.71374,                0.75857,                 0.4418,                 1.4589,                 1.0073,                  1.576,              0.0011802,              0.0011802,              0.0011802
                     62,                 1.0766,                0.81809,                  1.285,                0.78915,                0.64217,                0.71149,                0.42113,                 1.4722,                 1.1348,                  1.619,              0.0011719,              0.0011719,              0.0011719
                     63,                 1.0885,                0.83598,                 1.2868,                0.81932,                0.74063,                0.79165,                0.46223,                 1.4789,                0.95914,                 1.6104,              0.0011636,              0.0011636,              0.0011636
                     64,                 1.0701,                0.81762,                 1.2743,                0.80956,                 0.6693,                0.73606,                0.43683,                 1.4867,                 1.0516,                 1.6264,              0.0011554,              0.0011554,              0.0011554
                     65,                  1.056,                0.81071,                 1.2803,                0.78824,                0.69619,                0.76191,                0.45762,                  1.435,                0.99466,                  1.561,              0.0011471,              0.0011471,              0.0011471
                     66,                 1.0615,                0.79283,                 1.2761,                0.82371,                0.71896,                0.76972,                0.45606,                 1.4743,                0.99551,                 1.5905,              0.0011389,              0.0011389,              0.0011389
                     67,                 1.0509,                0.77422,                 1.2647,                0.81546,                0.70085,                0.77683,                0.46724,                 1.4672,                0.97103,                 1.5692,              0.0011306,              0.0011306,              0.0011306
                     68,                 1.0284,                0.77719,                 1.2612,                0.84407,                0.66576,                0.77401,                0.44545,                 1.4901,                 0.9837,                 1.6071,              0.0011224,              0.0011224,              0.0011224
                     69,                 1.0325,                0.78845,                 1.2599,                0.84764,                0.72683,                0.79167,                0.47468,                 1.4494,                0.94597,                 1.5719,              0.0011141,              0.0011141,              0.0011141
                     70,                  1.059,                0.78237,                 1.2681,                0.83536,                0.71553,                0.78596,                0.47393,                 1.4285,                0.95398,                 1.5547,              0.0011059,              0.0011059,              0.0011059
                     71,                 1.0221,                0.75933,                 1.2522,                0.82918,                0.73471,                0.79765,                0.47765,                 1.4279,                 0.9267,                   1.56,              0.0010976,              0.0010976,              0.0010976
                     72,                 1.0372,                 0.7979,                  1.261,                0.85629,                0.70434,                0.80057,                0.47402,                 1.4428,                0.95838,                 1.5662,              0.0010894,              0.0010894,              0.0010894
                     73,                 1.0408,                0.77787,                 1.2599,                0.80874,                0.69623,                0.76145,                 0.4633,                 1.4474,                0.99211,                 1.5833,              0.0010811,              0.0010811,              0.0010811
                     74,                 1.0024,                 0.7422,                 1.2342,                0.85129,                0.70222,                0.79562,                0.48043,                 1.4363,                 0.9342,                 1.5606,              0.0010729,              0.0010729,              0.0010729
                     75,                 1.0024,                0.74546,                 1.2241,                0.85013,                0.69863,                0.78394,                0.47073,                 1.4061,                0.91668,                 1.5397,              0.0010646,              0.0010646,              0.0010646
                     76,                0.98779,                0.71698,                 1.2235,                0.82846,                0.67494,                0.76971,                0.46121,                 1.4517,                0.95563,                 1.5927,              0.0010564,              0.0010564,              0.0010564
                     77,                 1.0037,                 0.7345,                 1.2269,                0.81177,                0.72879,                0.78759,                 0.4809,                 1.4113,                0.90214,                   1.56,              0.0010481,              0.0010481,              0.0010481
                     78,                0.98345,                0.73604,                  1.222,                0.81333,                0.71268,                0.78235,                0.47579,                 1.4277,                0.92153,                 1.5594,              0.0010399,              0.0010399,              0.0010399
                     79,                 1.0104,                0.72522,                 1.2283,                0.85299,                 0.6717,                 0.7692,                0.46729,                 1.4337,                0.93658,                 1.5497,              0.0010316,              0.0010316,              0.0010316
                     80,                0.97104,                0.70332,                 1.2108,                 0.8337,                0.69787,                0.79117,                0.47394,                 1.4558,                0.91571,                 1.5711,              0.0010234,              0.0010234,              0.0010234
                     81,                0.99062,                0.72606,                 1.2271,                0.81844,                0.71666,                0.79753,                0.48295,                 1.4339,                0.92402,                 1.5551,              0.0010151,              0.0010151,              0.0010151
                     82,                0.97626,                0.70841,                 1.2104,                0.86391,                0.69068,                 0.7768,                0.46734,                 1.4558,                0.94088,                 1.5866,              0.0010069,              0.0010069,              0.0010069
                     83,                0.95232,                 0.6897,                 1.2033,                0.83171,                0.72985,                 0.7894,                0.47889,                 1.4365,                 0.8795,                 1.5775,             0.00099862,             0.00099862,             0.00099862
                     84,                 0.9737,                0.68666,                 1.2082,                0.85483,                 0.7281,                0.80031,                0.47672,                 1.4491,                0.87978,                  1.577,             0.00099036,             0.00099036,             0.00099036
                     85,                0.97115,                0.69319,                 1.2077,                0.82903,                0.67266,                0.76759,                0.46267,                 1.4386,                0.93547,                 1.5924,             0.00098211,             0.00098211,             0.00098211
                     86,                0.94859,                0.67855,                 1.1903,                0.85831,                0.68836,                0.79145,                0.48394,                 1.4336,                0.96201,                 1.5608,             0.00097386,             0.00097386,             0.00097386
                     87,                0.97041,                0.71209,                 1.2146,                0.84798,                0.67604,                 0.7696,                0.46549,                 1.4202,                 0.9483,                 1.5638,             0.00096561,             0.00096561,             0.00096561
                     88,                0.95601,                0.71333,                 1.2004,                0.87277,                0.71307,                0.79886,                0.48737,                 1.4049,                0.88319,                 1.5514,             0.00095736,             0.00095736,             0.00095736
                     89,                0.94943,                0.68848,                 1.1996,                0.86026,                0.71401,                0.79684,                0.48216,                 1.4186,                0.94987,                  1.556,             0.00094911,             0.00094911,             0.00094911
                     90,                0.95261,                0.69199,                 1.1959,                0.82459,                0.71999,                0.77524,                0.46898,                 1.4377,                0.93164,                 1.5948,             0.00094085,             0.00094085,             0.00094085
                     91,                0.94821,                0.66642,                 1.1915,                0.83622,                0.69768,                0.77349,                0.47317,                 1.4516,                0.90144,                 1.5994,              0.0009326,              0.0009326,              0.0009326
                     92,                0.92454,                0.65216,                 1.1766,                0.84581,                0.70656,                0.79102,                0.48667,                 1.4238,                0.91737,                 1.5563,             0.00092435,             0.00092435,             0.00092435
                     93,                0.92954,                0.65918,                 1.1794,                0.84127,                0.71559,                0.79036,                0.48292,                 1.4344,                0.90168,                 1.5729,              0.0009161,              0.0009161,              0.0009161
                     94,                 0.9326,                0.65402,                 1.1749,                0.85232,                0.69254,                0.78918,                0.48273,                   1.42,                0.89713,                 1.5458,             0.00090785,             0.00090785,             0.00090785
                     95,                0.93365,                0.66445,                 1.1861,                  0.817,                0.72064,                0.78589,                0.47795,                  1.456,                0.91333,                 1.5674,              0.0008996,              0.0008996,              0.0008996
                     96,                 0.9197,                0.65187,                 1.1774,                0.84967,                0.72454,                0.79671,                 0.4908,                 1.4322,                0.88645,                 1.5716,             0.00089134,             0.00089134,             0.00089134
                     97,                0.90868,                0.63661,                 1.1679,                0.84281,                0.70992,                 0.7834,                0.47568,                 1.4397,                0.90202,                 1.5764,             0.00088309,             0.00088309,             0.00088309
                     98,                 0.9059,                0.62889,                 1.1577,                0.85234,                 0.7076,                 0.7981,                0.48698,                 1.4317,                0.84373,                 1.5971,             0.00087484,             0.00087484,             0.00087484
