                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.74562,                0.52132,                 1.0935,                0.84685,                0.77036,                0.82597,                0.49731,                 1.4972,                 0.8535,                 1.8008,             0.00085834,             0.00085834,             0.00085834
                    101,                 0.7638,                0.53413,                 1.1095,                0.86382,                0.72269,                0.79876,                0.49843,                   1.46,                0.84743,                 1.7195,             0.00085009,             0.00085009,             0.00085009
                    102,                 0.7313,                0.53177,                 1.0917,                0.83008,                0.73542,                0.77495,                 0.4771,                 1.4937,                0.89073,                 1.8135,             0.00084184,             0.00084184,             0.00084184
                    103,                0.74344,                0.52226,                 1.0863,                0.84693,                0.73583,                 0.7945,                0.48316,                  1.488,                0.85734,                  1.801,             0.00083358,             0.00083358,             0.00083358
                    104,                0.72231,                0.51857,                  1.085,                0.84824,                0.70845,                0.78439,                0.49045,                 1.4656,                0.89485,                 1.7689,             0.00082533,             0.00082533,             0.00082533
                    105,                0.71939,                0.51002,                 1.0968,                0.82141,                0.73985,                0.77998,                0.48878,                 1.4837,                0.92542,                 1.8006,             0.00081708,             0.00081708,             0.00081708
                    106,                0.73374,                0.52095,                 1.1043,                0.84859,                0.73128,                 0.7968,                0.49391,                 1.4564,                0.85519,                   1.74,             0.00080883,             0.00080883,             0.00080883
                    107,                0.75574,                0.53983,                 1.1057,                0.85936,                0.76203,                0.82086,                0.50064,                 1.4726,                0.83307,                 1.7315,             0.00080058,             0.00080058,             0.00080058
                    108,                0.70394,                0.49472,                 1.0789,                 0.8656,                0.73157,                0.82854,                0.50979,                 1.4698,                0.86629,                 1.7923,             0.00079233,             0.00079233,             0.00079233
                    109,                0.72757,                0.49782,                 1.0845,                0.81747,                0.72215,                0.78534,                 0.4961,                 1.4739,                0.90735,                 1.7649,             0.00078407,             0.00078407,             0.00078407
                    110,                0.69052,                0.49041,                 1.0712,                0.80395,                0.73129,                0.77605,                0.46637,                 1.4969,                0.86527,                 1.8242,             0.00077582,             0.00077582,             0.00077582
                    111,                0.71804,                0.50739,                 1.0807,                0.90572,                0.71088,                0.81788,                0.49262,                 1.4785,                0.81723,                 1.7959,             0.00076757,             0.00076757,             0.00076757
                    112,                0.70744,                0.50084,                 1.0787,                0.86202,                0.72671,                0.81461,                0.48881,                 1.4705,                0.83762,                 1.7798,             0.00075932,             0.00075932,             0.00075932
                    113,                 0.6944,                0.49335,                 1.0656,                0.82091,                0.71202,                0.76542,                0.47433,                 1.4856,                0.96966,                 1.7795,             0.00075107,             0.00075107,             0.00075107
                    114,                0.70292,                0.49232,                 1.0701,                0.86318,                0.73654,                0.81051,                0.50448,                 1.5003,                  0.877,                 1.7899,             0.00074282,             0.00074282,             0.00074282
                    115,                 0.7079,                0.48804,                   1.07,                0.81097,                0.75283,                0.78978,                0.48278,                 1.5012,                0.86424,                 1.8055,             0.00073456,             0.00073456,             0.00073456
                    116,                0.69807,                 0.4955,                 1.0618,                0.87807,                0.74202,                0.81629,                0.50564,                 1.4656,                0.79737,                 1.7599,             0.00072631,             0.00072631,             0.00072631
                    117,                0.70896,                0.51231,                 1.0809,                0.86281,                0.73153,                0.80606,                0.49561,                  1.489,                0.86013,                 1.7955,             0.00071806,             0.00071806,             0.00071806
                    118,                0.68183,                0.47755,                 1.0651,                0.86704,                 0.7716,                0.81402,                0.50428,                 1.4718,                0.84135,                 1.7902,             0.00070981,             0.00070981,             0.00070981
                    119,                0.66911,                0.46971,                 1.0629,                0.84333,                0.71882,                0.78095,                0.48839,                 1.4918,                0.88734,                 1.7984,             0.00070156,             0.00070156,             0.00070156
                    120,                0.69437,                0.47645,                 1.0643,                0.80271,                0.76953,                0.79592,                0.48299,                 1.4914,                0.87595,                 1.8057,             0.00069331,             0.00069331,             0.00069331
                    121,                0.66807,                 0.4686,                 1.0471,                0.86524,                0.73526,                0.80745,                0.49951,                 1.4613,                0.83404,                 1.7843,             0.00068505,             0.00068505,             0.00068505
                    122,                0.69349,                0.48762,                 1.0716,                0.85001,                0.73328,                0.80053,                0.49229,                 1.5075,                 0.8582,                 1.8392,              0.0006768,              0.0006768,              0.0006768
                    123,                0.65726,                0.46442,                 1.0518,                0.89354,                0.72676,                0.81785,                0.51508,                 1.4542,                0.81862,                  1.781,             0.00066855,             0.00066855,             0.00066855
                    124,                0.67693,                0.47425,                 1.0511,                0.83543,                0.75635,                 0.8081,                0.50336,                 1.4831,                0.82954,                 1.8235,              0.0006603,              0.0006603,              0.0006603
                    125,                0.66004,                0.46177,                 1.0557,                0.85078,                0.74559,                0.80263,                 0.5052,                  1.488,                0.83412,                 1.8152,             0.00065205,             0.00065205,             0.00065205
                    126,                0.66905,                0.46592,                 1.0546,                0.91644,                0.73299,                0.81188,                0.50919,                  1.472,                0.80665,                 1.7845,              0.0006438,              0.0006438,              0.0006438
                    127,                0.65786,                0.46078,                 1.0483,                 0.8937,                0.73866,                0.82377,                0.51554,                   1.46,                0.79996,                  1.778,             0.00063554,             0.00063554,             0.00063554
                    128,                0.65034,                0.45586,                 1.0423,                0.83954,                0.77173,                0.82467,                0.50981,                 1.4969,                0.80754,                 1.8052,             0.00062729,             0.00062729,             0.00062729
                    129,                0.67379,                0.47817,                 1.0621,                0.87316,                0.70522,                0.81069,                0.49159,                 1.4863,                0.83008,                 1.8217,             0.00061904,             0.00061904,             0.00061904
                    130,                0.67169,                0.47721,                 1.0583,                0.86138,                0.73299,                0.79695,                0.48067,                 1.4674,                0.83864,                  1.786,             0.00061079,             0.00061079,             0.00061079
                    131,                0.65127,                0.45735,                 1.0403,                0.86594,                0.72142,                0.79067,                0.49091,                 1.4785,                0.83468,                 1.8062,             0.00060254,             0.00060254,             0.00060254
                    132,                0.65428,                0.45734,                 1.0428,                0.85811,                0.76134,                0.81994,                0.50285,                 1.4514,                0.78887,                 1.7709,             0.00059429,             0.00059429,             0.00059429
                    133,                0.63276,                0.44663,                 1.0317,                0.82787,                0.72288,                0.79232,                0.49286,                 1.5059,                0.87436,                 1.8296,             0.00058603,             0.00058603,             0.00058603
